@relation strictlycd

@attribute craig numeric
@attribute len numeric
@attribute bruno numeric
@attribute darcey {0,1,2,3,4,5,6,7,8,9,10}

@data
2,5,5,5
5,6,4,5
3,5,4,4
4,6,6,7
6,6,7,6
7,7,7,7
6,7,7,6
3,5,4,5
5,6,5,5
8,7,7,8
5,7,5,5
3,5,5,5
6,6,7,8
4,4,5,5
6,6,6,6
7,7,7,6
6,6,6,6
3,5,5,6
6,7,7,6
2,4,4,5
7,8,8,7
8,8,8,8
5,5,5,5
6,5,5,6
7,6,7,6
3,5,5,5
7,6,6,6
5,6,6,6
4,7,6,5
3,6,4,6
3,5,4,6
4,5,4,4
7,7,8,7
8,8,8,8
7,6,6,7
6,6,6,7
7,8,8,6
8,7,8,6
6,7,7,7
8,6,8,8
6,8,7,6
5,7,5,5
6,7,7,6
2,5,5,5
6,7,7,6
4,6,6,5
7,7,7,7
8,8,7,8
7,8,8,8
5,6,6,7
8,9,9,9
8,7,8,8
8,8,9,8
7,6,7,7
3,5,4,5
9,9,9,8
6,6,5,6
6,8,8,7
6,7,7,7
4,7,7,7
6,6,6,6
7,8,8,8
8,9,8,8
9,9,9,9
7,7,7,8
6,9,9,9
6,7,7,7
7,8,8,7
8,9,9,8
7,8,8,7
8,9,9,8
5,7,7,7
8,8,8,8
8,8,8,8
6,8,8,8
9,10,10,10
7,8,7,8
5,7,6,6
5,7,6,6
9,9,9,9
8,9,9,8
9,9,8,9
9,9,9,9
8,8,9,9
4,6,5,6
6,7,7,7
7,7,7,6
6,7,6,7
9,9,9,9
9,9,10,9
9,8,9,8
8,9,9,8
5,6,6,7
7,7,8,8
7,8,8,8
8,8,8,8
8,9,10,10
8,9,9,9
7,7,8,8
5,8,7,7
9,9,10,10
9,9,10,9
10,10,10,10
8,9,9,8
7,8,8,8
9,10,10,10
9,9,10,10
7,8,8,8
9,10,10,9
9,9,10,10
9,10,10,9
10,10,10,10
8,8,8,8
9,10,10,10
9,9,9,9
9,10,10,10
9,10,10,10
10,10,10,10
8,9,9,9
9,10,10,10
10,10,10,10
10,10,10,10
10,10,10,10
9,10,10,10
5,7,7,6
2,5,4,5
5,7,6,6
6,8,7,7
7,7,7,7
8,8,7,8
3,6,5,5
5,7,6,6
2,5,4,5
6,7,7,7
3,6,6,5
6,6,6,6
7,7,7,7
3,6,5,5
8,8,8,8
7,8,8,8
2,4,3,4
8,8,9,9
3,5,4,5
6,7,7,7
5,6,6,7
4,6,5,5
5,6,6,6
3,5,5,5
6,5,5,6
4,7,5,6
9,9,9,9
6,7,6,6
7,8,8,7
7,8,8,9
6,8,7,7
6,7,7,7
2,5,4,5
7,7,7,7
6,7,7,7
6,7,7,6
7,7,7,7
7,8,8,8
4,7,6,5
8,9,8,9
3,6,6,5
8,7,8,8
9,9,9,9
7,7,7,7
8,9,9,9
4,6,6,6
3,8,7,8
7,8,8,8
4,7,6,6
5,7,7,7
8,8,7,8
5,6,6,6
9,8,9,9
8,9,8,8
9,9,9,8
5,6,6,6
6,8,8,7
8,9,9,9
8,9,9,9
3,5,4,5
6,7,7,7
6,7,7,8
7,8,8,7
4,6,6,6
7,7,7,7
7,8,8,8
8,8,8,8
6,7,7,7
7,7,8,8
8,9,8,9
6,8,7,7
7,9,8,8
6,8,7,7
9,9,10,10
6,7,6,6
7,8,8,7
8,8,8,9
8,9,9,8
4,6,4,5
8,9,9,8
4,8,7,7
5,7,7,7
9,9,9,9
5,7,5,6
9,9,9,9
4,6,4,6
8,9,9,9
8,8,8,8
9,9,9,10
7,9,9,9
8,9,9,9
8,8,8,8
8,9,9,9
6,8,8,7
7,10,10,10
5,8,8,8
9,10,10,10
9,10,10,10
7,8,8,8
8,9,9,9
9,9,10,9
6,7,7,8
7,8,8,8
6,7,7,7
8,8,8,8
8,8,8,8
8,10,10,10
9,8,10,9
7,7,8,7
9,9,9,9
10,10,10,10
8,9,9,9
7,9,9,8
8,9,9,9
9,8,9,9
8,9,9,10
8,8,8,8
9,9,10,9
9,8,9,8
10,10,10,10
9,9,9,9
8,9,9,9
9,10,10,9
9,10,10,10
9,10,10,9
7,9,9,8
8,9,10,9
8,8,8,8
9,10,10,10
8,10,10,9
10,10,10,10
9,10,10,10
9,10,10,10
9,9,9,9
9,9,10,10
10,10,10,10
8,9,9,9
9,10,10,10
9,9,10,10
10,10,10,10
6,7,7,7
3,5,5,5
7,7,7,7
3,6,5,4
2,5,5,4
7,7,7,6
5,6,6,7
6,7,7,6
6,7,7,6
3,5,5,5
5,6,6,6
5,6,7,6
3,5,5,5
7,8,8,7
6,7,7,7
5,7,6,7
4,5,5,5
5,7,7,7
3,5,5,5
5,6,6,5
8,9,9,9
2,5,5,5
7,7,8,7
5,6,6,6
6,7,7,6
6,7,7,7
4,6,5,5
8,9,9,9
3,6,6,6
7,8,8,7
4,6,6,5
6,7,8,7
3,5,5,5
4,6,7,6
3,5,5,5
2,5,5,5
8,8,9,8
2,5,6,5
8,9,9,9
8,8,8,8
7,9,9,9
7,8,8,8
7,9,8,8
6,7,7,6
8,8,8,8
7,7,8,7
4,6,6,6
7,8,8,8
6,7,7,7
2,4,4,5
6,7,7,7
8,8,8,8
3,5,5,6
6,7,7,7
6,8,8,8
8,8,8,9
8,9,8,8
7,8,8,8
7,8,8,7
4,5,5,5
6,7,7,7
8,8,8,8
5,6,6,6
8,8,8,9
7,7,7,7
3,5,5,5
8,8,9,9
7,7,8,8
8,9,9,9
6,7,7,7
5,7,7,7
6,7,8,8
5,7,7,7
8,8,9,8
3,6,5,6
6,8,8,7
7,8,9,8
3,6,6,6
8,9,9,9
9,9,10,9
7,9,8,9
7,8,8,8
6,7,7,7
3,5,5,5
7,8,8,8
6,7,7,7
7,8,8,8
7,9,8,8
9,8,9,10
6,7,7,8
8,10,10,9
9,9,9,9
6,8,8,8
8,10,10,10
4,7,7,6
9,9,9,9
9,10,10,9
7,8,8,8
9,9,10,9
4,6,6,7
7,9,9,8
9,9,10,9
8,8,8,8
9,10,10,9
9,10,9,10
7,8,8,7
9,9,9,9
9,10,10,9
7,9,8,8
5,8,7,7
9,10,10,10
9,10,9,10
9,9,9,9
5,8,8,8
8,9,9,9
9,10,10,10
9,8,9,9
8,9,9,9
9,10,10,9
8,8,9,9
6,8,8,8
7,9,10,8
8,9,8,8
6,8,7,9
8,9,9,9
7,8,8,8
9,10,10,9
9,8,8,8
9,10,9,10
10,10,10,10
9,10,10,10
8,9,9,9
10,10,10,10
9,10,10,10
9,10,10,9
8,9,9,9
10,10,10,10
9,10,10,10
9,10,10,10
10,10,10,10
10,10,10,10
6,7,7,7
4,6,6,5
7,7,8,7
2,5,4,5
4,7,7,6
6,7,7,7
5,7,7,8
4,6,5,5
2,6,5,6
6,7,7,7
4,6,5,5
6,7,7,6
3,5,4,5
4,6,5,6
7,8,7,8
4,5,6,6
5,6,6,6
5,5,5,5
7,8,8,8
2,4,3,4
6,6,7,6
6,7,6,7
4,5,5,6
6,7,7,7
4,5,5,5
7,6,6,8
3,5,4,5
7,7,7,7
7,7,8,8
7,7,8,7
3,5,4,5
4,5,4,6
4,5,5,6
8,8,8,8
3,6,5,6
7,6,7,7
8,8,8,8
4,6,5,6
5,6,6,6
7,7,7,7
6,6,6,7
3,7,7,7
6,8,7,8
9,9,10,9
6,7,7,7
5,6,6,6
4,6,5,6
7,9,8,7
3,6,5,6
8,8,8,8
8,8,8,8
5,6,7,7
5,6,5,6
6,7,6,7
8,8,8,8
8,8,8,8
8,8,8,9
7,8,8,8
4,6,5,6
8,8,8,8
7,8,7,7
7,8,7,7
4,6,5,6
5,7,7,7
4,6,5,6
3,6,4,5
9,8,9,9
8,8,8,9
8,9,9,9
