wheels,chassis,pax,vtype
6,20,39,0
8,23,11,0
5,3,1,1
4,3,4,1
5,3,1,1
4,18,37,0
18,23,2,2
5,4,2,1
1,1,1,3
18,26,2,2
1,1,1,3
1,1,1,3
1,1,1,3
8,21,28,0
5,4,2,1
4,1,4,1
18,24,2,2
18,23,2,2
8,15,33,0
7,14,39,0
1,1,1,3
4,1,1,1
1,1,1,3
1,1,1,3
4,4,3,1
4,2,3,1
4,1,4,1
6,16,13,0
18,22,1,2
7,15,28,0
1,1,1,3
5,4,2,1
18,21,1,2
18,20,1,2
1,1,1,3
1,1,1,3
18,24,2,2
4,1,4,1
1,1,1,3
18,20,1,2
4,2,3,1
5,3,3,1
18,21,2,2
6,13,27,0
1,1,1,3
8,13,22,0
4,4,4,1
18,20,2,2
1,1,1,3
18,22,2,2
4,3,1,1
5,13,34,0
5,3,4,1
18,22,2,2
1,1,1,3
18,29,2,2
1,1,1,3
18,20,2,2
18,29,1,2
4,2,2,1
8,13,33,0
1,1,1,3
6,14,15,0
4,22,24,0
7,15,38,0
5,3,2,1
18,25,1,2
4,16,37,0
5,3,2,1
4,3,3,1
1,1,1,3
18,23,1,2
4,2,2,1
18,27,1,2
18,20,1,2
18,28,1,2
4,1,1,1
8,19,35,0
4,3,1,1
1,1,1,3
4,3,3,1
8,16,23,0
5,1,2,1
18,29,1,2
5,4,1,1
18,24,2,2
5,3,4,1
1,1,1,3
18,27,1,2
4,3,3,1
4,20,31,0
18,22,1,2
1,1,1,3
4,1,4,1
4,1,1,1
18,29,1,2
1,1,1,3
5,1,2,1
18,29,2,2
4,1,4,1
4,4,3,1
1,1,1,3
18,29,1,2
18,21,1,2
1,1,1,3
7,15,19,0
9,18,31,0
5,4,4,1
18,24,2,2
5,1,2,1
6,20,11,0
5,21,20,0
8,16,20,0
7,13,37,0
4,3,1,1
18,29,2,2
4,16,25,0
18,20,2,2
5,4,3,1
18,25,1,2
8,19,34,0
4,1,2,1
18,24,2,2
1,1,1,3
5,1,2,1
4,2,4,1
18,28,2,2
18,24,1,2
18,20,1,2
18,20,2,2
5,3,1,1
18,26,2,2
5,13,23,0
4,23,26,0
1,1,1,3
1,1,1,3
5,2,4,1
4,4,3,1
9,23,21,0
1,1,1,3
18,26,2,2
1,1,1,3
5,20,22,0
5,3,3,1
1,1,1,3
18,22,1,2
4,4,3,1
9,16,16,0
5,2,3,1
1,1,1,3
9,12,38,0
7,17,32,0
1,1,1,3
5,22,19,0
1,1,1,3
1,1,1,3
18,20,1,2
4,1,1,1
18,27,2,2
1,1,1,3
1,1,1,3
5,1,4,1
18,24,1,2
1,1,1,3
1,1,1,3
6,17,21,0
5,22,15,0
18,22,2,2
5,2,2,1
7,14,23,0
1,1,1,3
18,20,2,2
18,27,2,2
18,20,2,2
7,19,32,0
5,4,4,1
9,23,21,0
6,12,10,0
5,1,4,1
6,17,17,0
4,3,2,1
18,21,2,2
1,1,1,3
8,14,33,0
4,17,13,0
5,2,2,1
1,1,1,3
1,1,1,3
4,2,3,1
4,2,3,1
18,28,2,2
1,1,1,3
18,25,2,2
1,1,1,3
5,3,3,1
18,21,2,2
7,20,21,0
7,18,36,0
1,1,1,3
8,17,39,0
1,1,1,3
1,1,1,3
9,23,29,0
4,4,2,1
18,22,1,2
18,25,2,2
18,25,2,2
1,1,1,3
1,1,1,3
4,1,1,1
4,1,2,1
18,24,2,2
1,1,1,3
6,23,23,0
1,1,1,3
6,19,31,0
4,3,4,1
1,1,1,3
1,1,1,3
1,1,1,3
4,3,3,1
1,1,1,3
5,12,31,0
1,1,1,3
1,1,1,3
5,19,24,0
7,21,31,0
5,4,1,1
18,26,1,2
5,1,4,1
18,29,2,2
4,2,1,1
5,14,25,0
4,3,4,1
5,3,2,1
8,18,18,0
8,14,39,0
18,26,2,2
18,20,1,2
1,1,1,3
18,24,2,2
1,1,1,3
18,23,2,2
1,1,1,3
1,1,1,3
18,20,2,2
18,23,2,2
5,18,37,0
9,23,23,0
5,1,1,1
18,20,1,2
4,2,2,1
1,1,1,3
5,1,4,1
1,1,1,3
1,1,1,3
1,1,1,3
1,1,1,3
18,29,2,2
1,1,1,3
1,1,1,3
18,22,2,2
5,1,1,1
9,17,12,0
18,23,1,2
1,1,1,3
1,1,1,3
18,29,2,2
1,1,1,3
4,2,1,1
18,23,1,2
8,17,38,0
18,21,2,2
4,4,1,1
5,20,19,0
5,4,4,1
1,1,1,3
18,28,2,2
18,24,2,2
4,4,3,1
1,1,1,3
18,23,2,2
1,1,1,3
5,1,3,1
1,1,1,3
18,20,1,2
18,28,2,2
4,2,3,1
1,1,1,3
4,1,2,1
9,16,39,0
18,28,2,2
5,13,33,0
4,1,4,1
18,25,1,2
18,26,2,2
1,1,1,3
5,21,30,0
4,3,3,1
4,23,22,0
18,27,2,2
1,1,1,3
5,1,1,1
5,23,29,0
1,1,1,3
6,12,17,0
4,23,35,0
1,1,1,3
5,4,2,1
1,1,1,3
1,1,1,3
5,21,36,0
5,2,1,1
9,20,12,0
4,4,2,1
1,1,1,3
18,24,1,2
18,24,2,2
5,4,4,1
5,4,3,1
18,23,2,2
18,20,1,2
18,26,2,2
8,18,30,0
5,12,15,0
7,13,15,0
6,20,16,0
1,1,1,3
5,4,3,1
1,1,1,3
1,1,1,3
18,27,2,2
4,17,33,0
5,4,1,1
1,1,1,3
5,13,37,0
5,2,4,1
5,4,2,1
18,29,1,2
18,25,1,2
6,23,14,0
4,2,3,1
8,23,34,0
5,18,32,0
6,18,15,0
5,4,2,1
4,23,33,0
4,14,24,0
18,22,2,2
1,1,1,3
18,23,2,2
4,4,1,1
18,24,2,2
4,4,1,1
18,29,2,2
8,12,36,0
4,4,4,1
9,12,15,0
18,26,2,2
5,15,35,0
1,1,1,3
18,28,1,2
5,3,4,1
18,29,1,2
18,21,1,2
7,21,22,0
7,19,23,0
1,1,1,3
9,19,32,0
6,17,19,0
7,14,12,0
1,1,1,3
8,22,20,0
5,1,4,1
5,4,4,1
7,13,37,0
4,2,4,1
4,3,4,1
4,1,4,1
4,3,2,1
1,1,1,3
4,17,22,0
8,14,31,0
1,1,1,3
1,1,1,3
4,2,4,1
1,1,1,3
1,1,1,3
18,22,1,2
5,4,3,1
4,4,3,1
18,23,2,2
4,4,1,1
18,27,1,2
9,17,31,0
